Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga,Bulan_Angka,Harga_Bulan_Lalu,Harga_3Bulan_Lalu,Harga_Tahun_Lalu,Provinsi_ID,Komoditas_ID
76,Sulawesi Barat,Bawang Putih (Bonggol),2022,Januari,28569.0,1,26980.0,26346.0,25238.0,69,1
81,Maluku,Bawang Putih (Bonggol),2022,Januari,36323.0,1,36305.0,36218.0,35923.0,57,1
82,Maluku Utara,Bawang Putih (Bonggol),2022,Januari,42364.0,1,41071.0,42374.0,37969.0,58,1
91,Papua Barat,Bawang Putih (Bonggol),2022,Januari,42098.0,1,41987.0,39920.0,37910.0,62,1
94,Papua,Bawang Putih (Bonggol),2022,Januari,40853.0,1,40913.0,40059.0,34474.0,61,1
11,Aceh,Cabai Merah Keriting,2022,Januari,20378.0,1,31426.0,36946.0,42353.0,38,6
12,Sumatera Utara,Cabai Merah Keriting,2022,Januari,24343.0,1,30203.0,35038.0,43565.0,76,6
13,Sumatera Barat,Cabai Merah Keriting,2022,Januari,27888.0,1,35083.0,38429.0,48343.0,74,6
14,Riau,Cabai Merah Keriting,2022,Januari,32121.0,1,39107.0,42939.0,54869.0,68,6
15,Jambi,Cabai Merah Keriting,2022,Januari,25469.0,1,31885.0,30909.0,48969.0,45,6
16,Sumatera Selatan,Cabai Merah Keriting,2022,Januari,36596.0,1,45840.0,26500.0,55463.0,75,6
17,Bengkulu,Cabai Merah Keriting,2022,Januari,24834.0,1,32886.0,29374.0,52776.0,41,6
18,Lampung,Cabai Merah Keriting,2022,Januari,27677.0,1,41052.0,24401.0,50439.0,56,6
19,Kepulauan Bangka Belitung,Cabai Merah Keriting,2022,Januari,43306.0,1,59480.0,37917.0,57667.0,54,6
21,Kepulauan Riau,Cabai Merah Keriting,2022,Januari,54518.0,1,58674.0,54326.0,57353.0,55,6
31,DKI Jakarta,Cabai Merah Keriting,2022,Januari,41266.0,1,51285.0,35768.0,56500.0,43,6
32,Jawa Barat,Cabai Merah Keriting,2022,Januari,32287.0,1,42197.0,30516.0,50100.0,46,6
33,Jawa Tengah,Cabai Merah Keriting,2022,Januari,23957.0,1,37008.0,25056.0,47445.0,47,6
34,DI Yogyakarta,Cabai Merah Keriting,2022,Januari,29000.0,1,39044.0,24240.0,45613.0,42,6
35,Jawa Timur,Cabai Merah Keriting,2022,Januari,25424.0,1,37980.0,23754.0,43106.0,48,6
36,Banten,Cabai Merah Keriting,2022,Januari,32867.0,1,44349.0,32073.0,53410.0,40,6
51,Bali,Cabai Merah Keriting,2022,Januari,38959.0,1,44422.0,25102.0,40250.0,39,6
52,Nusa Tenggara Barat,Cabai Merah Keriting,2022,Januari,27570.0,1,30271.0,24772.0,53247.0,59,6
53,Nusa Tenggara Timur,Cabai Merah Keriting,2022,Januari,49626.0,1,36241.0,34250.0,51863.0,60,6
61,Kalimantan Barat,Cabai Merah Keriting,2022,Januari,53186.0,1,71563.0,40672.0,62546.0,49,6
62,Kalimantan Tengah,Cabai Merah Keriting,2022,Januari,68016.0,1,70919.0,43167.0,58531.0,51,6
63,Kalimantan Selatan,Cabai Merah Keriting,2022,Januari,52389.0,1,60017.0,31440.0,56768.0,50,6
64,Kalimantan Timur,Cabai Merah Keriting,2022,Januari,54201.0,1,66582.0,33017.0,52835.0,52,6
65,Kalimantan Utara,Cabai Merah Keriting,2022,Januari,68912.0,1,75038.0,47622.0,59171.0,53,6
71,Sulawesi Utara,Cabai Merah Keriting,2022,Januari,38954.0,1,46232.0,28041.0,43254.0,73,6
72,Sulawesi Tengah,Cabai Merah Keriting,2022,Januari,39411.0,1,44217.0,28026.0,41129.0,71,6
73,Sulawesi Selatan,Cabai Merah Keriting,2022,Januari,32154.0,1,40782.0,15519.0,38247.0,70,6
74,Sulawesi Tenggara,Cabai Merah Keriting,2022,Januari,50366.0,1,52283.0,34323.0,41049.0,72,6
75,Gorontalo,Cabai Merah Keriting,2022,Januari,40321.0,1,50434.0,30219.0,37984.0,44,6
76,Sulawesi Barat,Cabai Merah Keriting,2022,Januari,37444.0,1,46599.0,23115.0,40580.0,69,6
81,Maluku,Cabai Merah Keriting,2022,Januari,64598.0,1,66812.0,47364.0,40218.0,57,6
82,Maluku Utara,Cabai Merah Keriting,2022,Januari,66377.0,1,61784.0,41981.0,45905.0,58,6
91,Papua Barat,Cabai Merah Keriting,2022,Januari,68177.0,1,65007.0,54730.0,60382.0,62,6
94,Papua,Cabai Merah Keriting,2022,Januari,62426.0,1,65324.0,46987.0,36790.0,61,6
12,Sumatera Utara,Cabai Rawit Merah,2022,Januari,59424.0,1,51033.0,45898.0,55619.0,76,7
14,Riau,Cabai Rawit Merah,2022,Januari,44200.0,1,41304.0,32886.0,60000.0,68,7
15,Jambi,Cabai Rawit Merah,2022,Januari,53293.0,1,59538.0,35942.0,65255.0,45,7
16,Sumatera Selatan,Cabai Rawit Merah,2022,Januari,55506.0,1,62139.0,36627.0,69437.0,75,7
17,Bengkulu,Cabai Rawit Merah,2022,Januari,50950.0,1,42802.0,33348.0,58515.0,41,7
18,Lampung,Cabai Rawit Merah,2022,Januari,53867.0,1,46745.0,31121.0,57444.0,56,7
19,Kepulauan Bangka Belitung,Cabai Rawit Merah,2022,Januari,91944.0,1,105901.0,47946.0,84965.0,54,7
21,Kepulauan Riau,Cabai Rawit Merah,2022,Januari,82610.0,1,75812.0,59692.0,87072.0,55,7
31,DKI Jakarta,Cabai Rawit Merah,2022,Januari,67396.0,1,81793.0,36083.0,81199.0,43,7
32,Jawa Barat,Cabai Rawit Merah,2022,Januari,59479.0,1,70731.0,28821.0,78998.0,46,7
33,Jawa Tengah,Cabai Rawit Merah,2022,Januari,39982.0,1,64323.0,25031.0,70517.0,47,7
34,DI Yogyakarta,Cabai Rawit Merah,2022,Januari,41188.0,1,65756.0,21760.0,71851.0,42,7
35,Jawa Timur,Cabai Rawit Merah,2022,Januari,38204.0,1,68190.0,19782.0,67847.0,48,7
36,Banten,Cabai Rawit Merah,2022,Januari,56052.0,1,71078.0,27755.0,78639.0,40,7
51,Bali,Cabai Rawit Merah,2022,Januari,44668.0,1,63851.0,20638.0,73149.0,39,7
52,Nusa Tenggara Barat,Cabai Rawit Merah,2022,Januari,38509.0,1,56660.0,15566.0,74200.0,59,7
53,Nusa Tenggara Timur,Cabai Rawit Merah,2022,Januari,50033.0,1,36164.0,39783.0,64867.0,60,7
61,Kalimantan Barat,Cabai Rawit Merah,2022,Januari,100249.0,1,108835.0,51444.0,91692.0,49,7
62,Kalimantan Tengah,Cabai Rawit Merah,2022,Januari,88880.0,1,87882.0,44299.0,79826.0,51,7
63,Kalimantan Selatan,Cabai Rawit Merah,2022,Januari,81015.0,1,81643.0,40151.0,79389.0,50,7
64,Kalimantan Timur,Cabai Rawit Merah,2022,Januari,70708.0,1,87753.0,36728.0,69587.0,52,7
65,Kalimantan Utara,Cabai Rawit Merah,2022,Januari,77112.0,1,101110.0,54246.0,83332.0,53,7
71,Sulawesi Utara,Cabai Rawit Merah,2022,Januari,52983.0,1,80901.0,46435.0,67512.0,73,7
72,Sulawesi Tengah,Cabai Rawit Merah,2022,Januari,54393.0,1,68877.0,39938.0,60821.0,71,7
73,Sulawesi Selatan,Cabai Rawit Merah,2022,Januari,43518.0,1,59889.0,17786.0,46463.0,70,7
74,Sulawesi Tenggara,Cabai Rawit Merah,2022,Januari,62635.0,1,76541.0,46393.0,49440.0,72,7
75,Gorontalo,Cabai Rawit Merah,2022,Januari,46378.0,1,81269.0,44583.0,59615.0,44,7
76,Sulawesi Barat,Cabai Rawit Merah,2022,Januari,50941.0,1,63264.0,25535.0,43484.0,69,7
81,Maluku,Cabai Rawit Merah,2022,Januari,102174.0,1,111230.0,69179.0,78676.0,57,7
82,Maluku Utara,Cabai Rawit Merah,2022,Januari,81083.0,1,92534.0,75062.0,83200.0,58,7
91,Papua Barat,Cabai Rawit Merah,2022,Januari,86547.0,1,101104.0,74826.0,87569.0,62,7
94,Papua,Cabai Rawit Merah,2022,Januari,90293.0,1,91997.0,67521.0,75628.0,61,7
11,Aceh,Daging Sapi Murni,2022,Januari,149301.0,1,149321.0,149929.0,141742.0,38,11
12,Sumatera Utara,Daging Sapi Murni,2022,Januari,131825.0,1,130098.0,129738.0,123174.0,76,11
13,Sumatera Barat,Daging Sapi Murni,2022,Januari,129101.0,1,129118.0,129531.0,123266.0,74,11
14,Riau,Daging Sapi Murni,2022,Januari,136018.0,1,136036.0,135336.0,124382.0,68,11
15,Jambi,Daging Sapi Murni,2022,Januari,126173.0,1,126618.0,126351.0,123132.0,45,11
16,Sumatera Selatan,Daging Sapi Murni,2022,Januari,127034.0,1,127289.0,126256.0,123081.0,75,11
17,Bengkulu,Daging Sapi Murni,2022,Januari,124067.0,1,125292.0,125070.0,125909.0,41,11
